title_id	title	year	type	rating	total_votes
tt0111161	The Shawshank Redemption	1994	feature	9.3	1678314
tt0068646	The Godfather	1972	feature	9.2	1148275
tt0071562	The Godfather: Part II	1974	feature	9.0	785197
tt0468569	The Dark Knight	2008	feature	9.0	1663494
tt0108052	Schindlers List	1993	feature	8.9	858896
tt0050083	12 Angry Men	1957	feature	8.9	443954
tt0110912	Pulp Fiction	1994	feature	8.9	1315513
tt0167260	The Lord of the Rings: The Return of the King	2003	feature	8.9	1207674
tt0060196	The Good, the Bad and the Ugly	1966	feature	8.9	500094
tt0137523	Fight Club	1999	feature	8.8	1337514
tt0120737	The Lord of the Rings: The Fellowship of the Ring	2001	feature	8.8	1230897
tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	feature	8.8	831405
tt0109830	Forrest Gump	1994	feature	8.8	1241149
tt1375666	Inception	2010	feature	8.8	1456987
tt0167261	The Lord of the Rings: The Two Towers	2002	feature	8.7	1092998
tt0073486	One Flew Over the Cuckoos Nest	1975	feature	8.7	675592
tt0099685	Goodfellas	1990	feature	8.7	723484
tt0133093	The Matrix	1999	feature	8.7	1209462
tt0047478	Seven Samurai	1954	feature	8.7	227611
tt0076759	Star Wars: Episode IV - A New Hope	1977	feature	8.7	904849
tt0317248	City of God	2002	feature	8.7	529928
tt0114369	Se7en	1995	feature	8.6	1015994
tt0102926	The Silence of the Lambs	1991	feature	8.6	880642
tt0038650	Its a Wonderful Life	1946	feature	8.6	273924
tt0114814	The Usual Suspects	1995	feature	8.6	735879
